000000,s1_camera_offhand_1
001195,s9_cylinderlarge_pass_1
M001195,s9_cylinderlarge_pass_1_m
001196,s9_alarmclock_pass_1
M001196,s9_alarmclock_pass_1_m
001197,s9_camera_takepicture_1
M001197,s9_camera_takepicture_1_m
001198,s9_cubemedium_pass_1
M001198,s9_cubemedium_pass_1_m
001199,s9_flashlight_on_1
M001199,s9_flashlight_on_1_m
001200,s9_toruslarge_inspect_1
M001200,s9_toruslarge_inspect_1_m
001201,s9_phone_pass_1
M001201,s9_phone_pass_1_m
001202,s9_hammer_use_3
M001202,s9_hammer_use_3_m
001203,s9_gamecontroller_play_1
M001203,s9_gamecontroller_play_1_m
001204,s9_mouse_pick_all
M001204,s9_mouse_pick_all_m
001205,s9_stanfordbunny_inspect_1
M001205,s9_stanfordbunny_inspect_1_m
001206,s9_camera_pass_1
M001206,s9_camera_pass_1_m
001207,s9_elephant_pick_all
M001207,s9_elephant_pick_all_m
001208,s9_toothbrush_pass_1
M001208,s9_toothbrush_pass_1_m
001209,s9_spheresmall_pass_1
M001209,s9_spheresmall_pass_1_m
001210,s9_wineglass_toast_1_Retake
M001210,s9_wineglass_toast_1_Retake_m
001211,s9_cubelarge_inspect_1
M001211,s9_cubelarge_inspect_1_m
001212,s9_gamecontroller_pass_1
M001212,s9_gamecontroller_pass_1_m
001213,s9_spheremedium_inspect_1
M001213,s9_spheremedium_inspect_1_m
001214,s9_banana_pass_1
M001214,s9_banana_pass_1_m
001215,s9_doorknob_use_2
M001215,s9_doorknob_use_2_m
001216,s9_spherelarge_pass_1
M001216,s9_spherelarge_pass_1_m
001217,s9_banana_pick_all
M001217,s9_banana_pick_all_m
001218,s9_cubelarge_pass_1
M001218,s9_cubelarge_pass_1_m
001219,s9_waterbottle_shake_1
M001219,s9_waterbottle_shake_1_m
001220,s9_pyramidmedium_inspect_1
M001220,s9_pyramidmedium_inspect_1_m
001221,s9_piggybank_pick_all_Retake
M001221,s9_piggybank_pick_all_Retake_m
001222,s9_spheremedium_pass_1
M001222,s9_spheremedium_pass_1_m
001223,s9_headphones_use_1
M001223,s9_headphones_use_1_m
001224,s9_banana_peel_1
M001224,s9_banana_peel_1_m
001225,s9_cylindermedium_inspect_1
M001225,s9_cylindermedium_inspect_1_m
001226,s9_bowl_pick_all
M001226,s9_bowl_pick_all_m
001227,s9_piggybank_pass_1
M001227,s9_piggybank_pass_1_m
001228,s9_cup_drink_1
M001228,s9_cup_drink_1_m
001229,s5_piggybank_pick_all
M001229,s5_piggybank_pick_all_m
001230,s5_binoculars_pick_all
M001230,s5_binoculars_pick_all_m
001231,s5_wineglass_drink_2
M001231,s5_wineglass_drink_2_m
001232,s5_pyramidlarge_inspect_1
M001232,s5_pyramidlarge_inspect_1_m
001233,s5_bowl_pass_1
M001233,s5_bowl_pass_1_m
001234,s5_stamp_stamp_1
M001234,s5_stamp_stamp_1_m
001235,s5_waterbottle_pick_all
M001235,s5_waterbottle_pick_all_m
001236,s5_cup_drink_2
M001236,s5_cup_drink_2_m
001237,s5_binoculars_see_1
M001237,s5_binoculars_see_1_m
001238,s5_cylinderlarge_inspect_1
M001238,s5_cylinderlarge_inspect_1_m
001239,s5_cylindersmall_inspect_1
M001239,s5_cylindersmall_inspect_1_m
001240,s5_hand_inspect_1
M001240,s5_hand_inspect_1_m
001241,s5_train_pick_all
M001241,s5_train_pick_all_m
001242,s5_spheresmall_inspect_1
M001242,s5_spheresmall_inspect_1_m
001243,s5_pyramidmedium_pass_1
M001243,s5_pyramidmedium_pass_1_m
001244,s5_duck_pass_1
M001244,s5_duck_pass_1_m
001245,s5_toothpaste_pass_1
M001245,s5_toothpaste_pass_1_m
001246,s5_cylindersmall_pass_1
M001246,s5_cylindersmall_pass_1_m
001247,s5_watch_pass_1
M001247,s5_watch_pass_1_m
001248,s5_mouse_pass_1
M001248,s5_mouse_pass_1_m
001249,s5_stanfordbunny_pass_1
M001249,s5_stanfordbunny_pass_1_m
001250,s5_mug_pass_1
M001250,s5_mug_pass_1_m
001251,s5_wineglass_toast_1
M001251,s5_wineglass_toast_1_m
001252,s5_train_pass_1
M001252,s5_train_pass_1_m
001253,s5_spherelarge_pick_all
M001253,s5_spherelarge_pick_all_m
001254,s5_alarmclock_pick_all
M001254,s5_alarmclock_pick_all_m
001255,s5_cylindermedium_pick_all
M001255,s5_cylindermedium_pick_all_m
001256,s5_cubemedium_pick_all
M001256,s5_cubemedium_pick_all_m
001257,s5_apple_pass_1
M001257,s5_apple_pass_1_m
001258,s5_wineglass_pick_all
M001258,s5_wineglass_pick_all_m
001259,s5_waterbottle_pass_1
M001259,s5_waterbottle_pass_1_m
001260,s5_torussmall_inspect_1
M001260,s5_torussmall_inspect_1_m
001261,s5_airplane_pick_all
M001261,s5_airplane_pick_all_m
001262,s5_eyeglasses_clean_2
M001262,s5_eyeglasses_clean_2_m
001263,s5_mug_toast_1
M001263,s5_mug_toast_1_m
001264,s5_banana_peel_2
M001264,s5_banana_peel_2_m
001265,s5_cubesmall_inspect_1
M001265,s5_cubesmall_inspect_1_m
001266,s5_mug_drink_1
M001266,s5_mug_drink_1_m
001267,s5_cup_pour_1
M001267,s5_cup_pour_1_m
001268,s5_wineglass_pass_1
M001268,s5_wineglass_pass_1_m
001269,s5_doorknob_pick_all
M001269,s5_doorknob_pick_all_m
001270,s5_duck_inspect_1
M001270,s5_duck_inspect_1_m
001271,s5_hammer_use_1
M001271,s5_hammer_use_1_m
001272,s5_flute_pass_1
M001272,s5_flute_pass_1_m
001273,s5_airplane_pass_1
M001273,s5_airplane_pass_1_m
001274,s5_cubesmall_pass_1
M001274,s5_cubesmall_pass_1_m
001275,s5_hammer_pass_1
M001275,s5_hammer_pass_1_m
001276,s5_binoculars_pass_1
M001276,s5_binoculars_pass_1_m
001277,s5_bowl_drink_2
M001277,s5_bowl_drink_2_m
001278,s5_scissors_pass_1
M001278,s5_scissors_pass_1_m
001279,s5_stapler_pass_1
M001279,s5_stapler_pass_1_m
001280,s5_bowl_drink_1
M001280,s5_bowl_drink_1_m
001281,s5_torusmedium_inspect_1
M001281,s5_torusmedium_inspect_1_m
001282,s5_torusmedium_pass_1
M001282,s5_torusmedium_pass_1_m
001283,s5_cylinderlarge_pick_all
M001283,s5_cylinderlarge_pick_all_m
001284,s5_spherelarge_inspect_1
M001284,s5_spherelarge_inspect_1_m
001285,s5_cubelarge_pick_all
M001285,s5_cubelarge_pick_all_m
001286,s5_duck_pick_all
M001286,s5_duck_pick_all_m
001287,s5_flashlight_on_2
M001287,s5_flashlight_on_2_m
001288,s5_flute_play_1
M001288,s5_flute_play_1_m
001289,s5_cup_pass_1
M001289,s5_cup_pass_1_m
001290,s5_piggybank_use_1
M001290,s5_piggybank_use_1_m
001291,s5_elephant_inspect_1
M001291,s5_elephant_inspect_1_m
001293,s5_toruslarge_pass_1
M001293,s5_toruslarge_pass_1_m
001294,s5_mouse_use_1
M001294,s5_mouse_use_1_m
001295,s5_toothbrush_brush_1
M001295,s5_toothbrush_brush_1_m
001296,s5_teapot_pass_1
M001296,s5_teapot_pass_1_m
001297,s5_pyramidlarge_pass_1
M001297,s5_pyramidlarge_pass_1_m
001298,s5_cup_pick_all
M001298,s5_cup_pick_all_m
001300,s5_stamp_pass_1
M001300,s5_stamp_pass_1_m
001301,s5_cubemedium_inspect_1
M001301,s5_cubemedium_inspect_1_m
001303,s5_wineglass_drink_1
M001303,s5_wineglass_drink_1_m
001304,s5_cylindermedium_pass_1
M001304,s5_cylindermedium_pass_1_m
001305,s5_waterbottle_open_1
M001305,s5_waterbottle_open_1_m
001306,s5_stanfordbunny_pick_all
M001306,s5_stanfordbunny_pick_all_m
001307,s5_hand_pass_1
M001307,s5_hand_pass_1_m
001308,s5_elephant_pass_1
M001308,s5_elephant_pass_1_m
001309,s5_alarmclock_see_1
M001309,s5_alarmclock_see_1_m
001310,s5_cylinderlarge_pass_1
M001310,s5_cylinderlarge_pass_1_m
001311,s5_alarmclock_pass_1
M001311,s5_alarmclock_pass_1_m
001312,s5_cubemedium_pass_1
M001312,s5_cubemedium_pass_1_m
001313,s5_flashlight_on_1
M001313,s5_flashlight_on_1_m
001314,s5_cubesmall_pick_all
M001314,s5_cubesmall_pick_all_m
001315,s5_gamecontroller_pick_all
M001315,s5_gamecontroller_pick_all_m
001316,s5_phone_pass_1
M001316,s5_phone_pass_1_m
001317,s5_flute_play_2
M001317,s5_flute_play_2_m
001318,s5_gamecontroller_play_1
M001318,s5_gamecontroller_play_1_m
001319,s5_mouse_pick_all
M001319,s5_mouse_pick_all_m
001320,s5_stanfordbunny_inspect_1
M001320,s5_stanfordbunny_inspect_1_m
001321,s5_camera_pass_1
M001321,s5_camera_pass_1_m
001322,s5_elephant_pick_all
M001322,s5_elephant_pick_all_m
001324,s5_cubelarge_inspect_1
M001324,s5_cubelarge_inspect_1_m
001325,s5_gamecontroller_pass_1
M001325,s5_gamecontroller_pass_1_m
001326,s5_spheremedium_inspect_1
M001326,s5_spheremedium_inspect_1_m
001327,s5_banana_pass_1
M001327,s5_banana_pass_1_m
001328,s5_camera_takepicture_3
M001328,s5_camera_takepicture_3_m
001329,s5_spheremedium_pick_all
M001329,s5_spheremedium_pick_all_m
001330,s5_spherelarge_pass_1
M001330,s5_spherelarge_pass_1_m
001331,s5_train_play_1
M001331,s5_train_play_1_m
001332,s5_cubelarge_pass_1
M001332,s5_cubelarge_pass_1_m
001333,s5_toruslarge_pick_all
M001333,s5_toruslarge_pick_all_m
001334,s5_waterbottle_shake_1
M001334,s5_waterbottle_shake_1_m
001335,s5_pyramidmedium_inspect_1
M001335,s5_pyramidmedium_inspect_1_m
001336,s5_spheremedium_pass_1
M001336,s5_spheremedium_pass_1_m
001337,s5_cylindermedium_inspect_1
M001337,s5_cylindermedium_inspect_1_m
001338,s5_piggybank_pass_1
M001338,s5_piggybank_pass_1_m
OAKINK000000,s1_toothpaste_test_1
MOAKINK000000,s1_toothpaste_test_1_m
OAKINK000001,s1_toothpaste_test_2
